U+24FC	⓼	双圆圈八 圆圈八
U+24FB	⓻	双圆圈七 圆圈七
U+24FA	⓺	双圆圈六 圆圈六
U+24F9	⓹	双圆圈五 圆圈五
U+24F8	⓸	双圆圈四 圆圈四
U+24F7	⓷	双圆圈三 圆圈三
U+24F6	⓶	双圆圈二 圆圈二
U+24F5	⓵	双圆圈一 圆圈一
U+24F4	⓴	反白圆圈二十 圆圈二十
U+24F3	⓳	反白圆圈十九 圆圈十九
U+24F2	⓲	反白圆圈十八 圆圈十八
U+24F1	⓱	反白圆圈十七 圆圈十七
U+24F0	⓰	反白圆圈十六 圆圈十六
U+24EF	⓯	反白圆圈十五 圆圈十五
U+24EE	⓮	反白圆圈十四 圆圈十四
U+24ED	⓭	反白圆圈十三 圆圈十三
U+24EC	⓬	反白圆圈十二 圆圈十二
U+24EB	⓫	反白圆圈十一 圆圈十一
U+24EA	⓪	圆圈零
U+24E9	ⓩ	圆圈经
U+24E8	ⓨ	圆圈主
U+24E7	ⓧ	圆圈经
U+24E6	ⓦ	圆圈人
U+24E5	ⓥ	圆圈发
U+24E4	ⓤ	圆圈产
U+24E3	ⓣ	圆圈和
U+24E2	ⓢ	圆圈要
U+24E1	ⓡ	圆圈的
U+24E0	ⓠ	圆圈我
U+24DF	ⓟ	圆圈这
U+24DE	ⓞ	圆圈为
U+24DD	ⓝ	圆圈民
U+24DC	ⓜ	圆圈同
U+24DB	ⓛ	圆圈国
U+24DA	ⓚ	圆圈中
U+24D9	ⓙ	圆圈是
U+24D8	ⓘ	圆圈不
U+24D7	ⓗ	圆圈上
U+24D6	ⓖ	圆圈一
U+24D5	ⓕ	圆圈地
U+24D4	ⓔ	圆圈有
U+24D3	ⓓ	圆圈在
U+24D2	ⓒ	圆圈以
U+24D1	ⓑ	圆圈了
U+24D0	ⓐ	圆圈工
U+24CF	Ⓩ	圆圈经
U+24CE	Ⓨ	圆圈主
U+24CD	Ⓧ	圆圈经
U+24CC	Ⓦ	圆圈人
U+24CB	Ⓥ	圆圈发
U+24CA	Ⓤ	圆圈产
U+24C9	Ⓣ	圆圈和
U+24C8	Ⓢ	圆圈要
U+24C7	Ⓡ	圆圈的
U+24C6	Ⓠ	圆圈我
U+24C5	Ⓟ	圆圈这
U+24C4	Ⓞ	圆圈为
U+24C3	Ⓝ	圆圈民
U+24C2	Ⓜ	圆圈同
U+24C1	Ⓛ	圆圈国
U+24C0	Ⓚ	圆圈中
U+24BF	Ⓙ	圆圈是
U+24BE	Ⓘ	圆圈不
U+24BD	Ⓗ	圆圈上
U+24BC	Ⓖ	圆圈一
U+24BB	Ⓕ	圆圈地
U+24BA	Ⓔ	圆圈有
U+24B9	Ⓓ	圆圈在
U+24B8	Ⓒ	圆圈以
U+24B7	Ⓑ	圆圈了
U+24B6	Ⓐ	圆圈工
U+24B5	⒵	圆括号经
U+24B4	⒴	圆括号主
U+24B3	⒳	圆括号经
U+24B2	⒲	圆括号人
U+24B1	⒱	圆括号发
U+24B0	⒰	圆括号产
U+24AF	⒯	圆括号和
U+24AE	⒮	圆括号要
U+24AD	⒭	圆括号的
U+24AC	⒬	圆括号我
U+24AB	⒫	圆括号这
U+24AA	⒪	圆括号为
U+24A9	⒩	圆括号民
U+24A8	⒨	圆括号同
U+24A7	⒧	圆括号国
U+24A6	⒦	圆括号中
U+24A5	⒥	圆括号是
U+24A4	⒤	圆括号不
U+24A3	⒣	圆括号上
U+24A2	⒢	圆括号一
U+24A1	⒡	圆括号地
U+24A0	⒠	圆括号有
U+249F	⒟	圆括号在
U+249E	⒞	圆括号以
U+249D	⒝	圆括号了
U+249C	⒜	圆括号工
U+249B	⒛	二十点
U+249A	⒚	十九点
U+2499	⒙	十八点
U+2498	⒘	十七点
U+2497	⒗	十六点
U+2496	⒖	十五点
U+2495	⒕	十四点
U+2494	⒔	十三点
U+2493	⒓	十二点
U+2492	⒒	十一点
U+2491	⒑	十点
U+2490	⒐	九点
U+248F	⒏	八点
U+248E	⒎	七点
U+248D	⒍	六点
U+248C	⒌	五点
U+248B	⒋	四点
U+248A	⒊	三点
U+2489	⒉	二点
U+2488	⒈	一点
U+2487	⒇	圆括号二十
U+2486	⒆	圆括号十九
U+2485	⒅	圆括号十八
U+2484	⒄	圆括号十七
U+2483	⒃	圆括号十六
U+2482	⒂	圆括号十五
U+2481	⒁	圆括号十四
U+2480	⒀	圆括号十三
U+247F	⑿	圆括号十二
U+247E	⑾	圆括号十一
U+247D	⑽	圆括号十
U+247C	⑼	圆括号九
U+247B	⑻	圆括号八
U+247A	⑺	圆括号七
U+2479	⑹	圆括号六
U+2478	⑸	圆括号五
U+2477	⑷	圆括号四
U+2476	⑶	圆括号三
U+2475	⑵	圆括号二
U+2474	⑴	圆括号一
U+2473	⑳	圆圈二十
U+2472	⑲	圆圈十九
U+2471	⑱	圆圈十八
U+2470	⑰	圆圈十七
U+246F	⑯	圆圈十六
U+246E	⑮	圆圈十五
U+246D	⑭	圆圈十四
U+246C	⑬	圆圈十三
U+246B	⑫	圆圈十二
U+246A	⑪	圆圈十一
U+2469	⑩	圆圈十
U+2468	⑨	圆圈九
U+2467	⑧	圆圈八
U+2466	⑦	圆圈七
U+2465	⑥	圆圈六
U+2464	⑤	圆圈五
U+2463	④	圆圈四
U+2462	③	圆圈三
U+2461	②	圆圈二
U+2460	①	圆圈一
U+2425	␥	删除形式二符号
U+2423	␣	打开框
U+2422	␢	空白
U+2421	␡	删除
U+2420	␠	空格
U+241F	␟	单元分隔符 分隔符
U+241E	␞	记录分隔符 分隔符
U+241D	␝	组分隔符 分隔符
U+241C	␜	文件分隔符 分隔符
U+241B	␛	转意
U+241A	␚	替换
U+2419	␙	媒体结束
U+2418	␘	取消
U+2417	␗	传输块结束
U+2416	␖	同步空闲
U+2415	␕	反确认
U+2414	␔	设备控制四 设备
U+2413	␓	设备控制三 设备
U+2412	␒	设备控制二 设备
U+2411	␑	设备控制一 设备
U+2410	␐	数据链路转意
U+240F	␏	移入
U+240E	␎	移出
U+240D	␍	回车
U+240C	␌	换页
U+240B	␋	竖直表
U+240A	␊	换行
U+2409	␉	水平表
U+2408	␈	退格
U+2407	␇	响铃
U+2406	␆	确认
U+2405	␅	询问
U+2404	␄	传输结束
U+2403	␃	正文结束
U+2402	␂	正文开始
U+2401	␁	头标开始
U+2400	␀	空
U+217F	ⅿ	罗马数字 一千
U+217E	ⅾ	罗马数字 五百
U+217D	ⅽ	罗马数字 一百
U+217C	ⅼ	罗马数字 五十
U+217B	ⅻ	罗马数字 十二
U+217A	ⅺ	罗马数字 十一
U+2179	ⅹ	罗马数字 十
U+2178	ⅸ	罗马数字 九
U+2177	ⅷ	罗马数字 八
U+2176	ⅶ	罗马数字 七
U+2175	ⅵ	罗马数字 六
U+2174	ⅴ	罗马数字 五
U+2173	ⅳ	罗马数字 四
U+2172	ⅲ	罗马数字 三
U+2171	ⅱ	罗马数字 二
U+2170	ⅰ	罗马数字 一
U+216F	Ⅿ	罗马数字 一千
U+216E	Ⅾ	罗马数字 五百
U+216D	Ⅽ	罗马数字 一百
U+216C	Ⅼ	罗马数字 五十
U+216B	Ⅻ	罗马数字 十二
U+216A	Ⅺ	罗马数字 十一
U+2169	Ⅹ	罗马数字 十
U+2168	Ⅸ	罗马数字 九
U+2167	Ⅷ	罗马数字 八
U+2166	Ⅶ	罗马数字 七
U+2165	Ⅵ	罗马数字 六
U+2164	Ⅴ	罗马数字 五
U+2163	Ⅳ	罗马数字 四
U+2162	Ⅲ	罗马数字 三
U+2161	Ⅱ	罗马数字 二
U+2160	Ⅰ	罗马数字 一
U+215F	⅟	分之一
U+215E	⅞	八分之七
U+215D	⅝	八分之五
U+215C	⅜	八分之三
U+215B	⅛	八分之一
U+215A	⅚	六分之五
U+2159	⅙	六分之一
U+2158	⅘	五分之四
