U+1F4AD	💭	内心活动气泡 气泡 对话框 思考气泡 想法
U+1F4A4	💤	睡着 呼噜 昏睡 睡了 睡眠 睡眠符号 睡着了 晚安 睡觉
U+1F44B	👋	挥手 手掌 你好 再见 拜拜 摆手
U+1F91A	🤚	立起的手背 手掌 手背 手
U+1F590	🖐	手掌 布 手指张开 手指张开的手
U+270B	✋	举起手 手掌 举起的手 击掌
U+1F596	🖖	瓦肯举手礼 手掌 敬礼 斯波克 星际迷航 瓦肯
U+1FAF1	🫱	向右的手 手掌 向右 右手 向右伸的手 手向右 朝右
U+1FAF2	🫲	向左的手 手掌 向左 向左伸的手 左手 手向左 朝左
U+1FAF3	🫳	掌心向下的手 手掌 向下 手向下 手掌朝下 掌心朝下 放手
U+1FAF4	🫴	掌心向上的手 手掌 身上 伸手 手向上 手掌朝上 抬起 掌心朝上
U+1FAF7	🫷	向左推 手掌 向左 拒绝 向左推手 向左推的手 左手
U+1FAF8	🫸	向右推 手掌 向右 拒绝 右手 向右推手 向右推的手
U+1F44C	👌	好的 手指 手势 okok 好 好哒 没问题
U+1F90C	🤌	捏手指 手指 手势 兰花指 手指捏和 捏合
U+1F90F	🤏	捏合的手势 手指 手势 一点 一点儿 一点点 少许 少量
U+270C	✌	胜利手势 手指 手势 胜利 成功 两个 剪刀手 和平手势 哦耶 第二 赢了 赢咯 赢啦 yeah
U+1F91E	🤞	交叉的手指 手指 手势 幸运 手指交叉
U+1FAF0	🫰	食指与拇指交叉的手 手指 手势 钱钱 响指 打响指 比心 比心手势 食指和拇指交叉的手
U+1F91F	🤟	爱你的手势 手指 手势 我爱你 爱你手势
U+1F918	🤘	摇滚 手指 手势 摇滚手势 金属礼
U+1F919	🤙	给我打电话 手指 手势 打电话 call 六六六 回电话 打电话给我 打给我
U+1F448	👈	反手食指向左指 手指 手势 向左 左边 左面 往左 往左指
U+1F449	👉	反手食指向右指 手指 手势 向右 右边 右面 往右 往右指
U+1F446	👆	反手食指向上指 手指 手势 向上 上边 上面 往上 往上指
U+1F595	🖕	竖中指 手指 手势 中指 举中指 比中指
U+1F447	👇	反手食指向下指 手指 手势 向下 下边 下面 往下 往下指
U+261D	☝	食指向上指 手指 手势 向上 一个 第一 食指 空心上指索引
U+1FAF5	🫵	指向观察者的食指 手指 手势 你自己 就是你 指人 指你 指我 指着 指着你 食指指向观察者
U+1F44D	👍	拇指向上 手指 手势 向上 不错 厉害 同意 大拇指 大拇指向上 大拇指朝上 太棒 太棒了 太棒啦 好强 好棒 干得好 很好 很棒 棒啊 棒棒 棒棒哒 棒棒的 点赞 牛逼 特棒 真棒 绝了 表扬 赞成 非常棒 顶一下
U+1F44E	👎	拇指向下 手指 手势 向下 不好 不强 不棒 不赞成 反对 坏 大拇指 大拇指向下 大拇指朝下 太差 太差了 太差啦 差劲 拇指向上 责备
U+270A	✊	举起拳头 拳头 举起的拳头 握拳
U+1F44A	👊	出拳 拳头 干你 打你 打击 揍你 握紧的拳头 重拳出击
U+1F91B	🤛	朝左的拳头 拳头 右拳 右钩拳 左向拳
U+1F91C	🤜	朝右的拳头 拳头 右向拳 左拳 左钩拳
U+1F44F	👏	鼓掌 欢迎 啪 啪啪啪 拍手 拍掌
U+1F64C	🙌	举双手 双手 扬手欢呼
U+1FAF6	🫶	做成心形的双手 双手 爱心 比心 比心手势
U+1F450	👐	张开双手 双手 双手张开 摊手
U+1F932	🤲	掌心向上托起 托 双手 双手手掌向上 捧着 祷告
U+1F91D	🤝	握手 会面 协议 合作 合作愉快 搞定
U+1F64F	🙏	双手合十 双手 合十  合掌 感谢 拜托 求你了 求求你 求求你了 祈求 祈祷 祝福 谢谢 超度 阿弥陀佛
U+270D	✍	写字 手写
U+1F485	💅	涂指甲油 指甲 做指甲 做美甲
U+1F933	🤳	自拍
U+1F4AA	💪	肌肉 二头肌 健身 加油 努力 壮 奋斗 强 强壮 秀肌肉 肱二头 肱二头肌
U+1F9BE	🦾	机械手臂 机械 手臂 义体 义肢 机械臂 赛博朋克
U+1F9BF	🦿	机械腿 机械 腿 义体 义肢 赛博朋克
U+1F9B5	🦵	腿 大腿 练腿 腿儿
U+1F9B6	🦶	脚 脚丫 脚丫子 足 踢 踩
U+1F442	👂	耳朵 听 耳
U+1F9BB	🦻	戴助听器的耳朵 耳朵 助听器 听力障碍
U+1F443	👃	鼻子 呼吸 嗅 闻 鼻
U+1F9E0	🧠	脑 大脑 头脑 脑子 脑花
U+1FAC0	🫀	心脏器官 心脏
U+1FAC1	🫁	肺 吸气 呼吸作用 呼气
U+1F9B7	🦷	牙齿 牙 牙医 牙牙
U+1F9B4	🦴	骨头 骨骼 骨
U+1F440	👀	双眼 眼睛 注视 看 看看 观察
U+1F441	👁	眼睛 一只眼 一只眼睛 单眼 瞳孔
U+1F445	👅	舌头 舌 舔
U+1F444	👄	嘴 口 唇 嘴唇 嘴巴 红唇
U+1FAE6	🫦	咬住嘴唇 嘴唇 咬嘴唇 情调 诱惑 调情
U+1F476	👶	小宝贝 宝贝 小孩 乖宝 乖宝宝 婴儿 小宝贝儿 弟弟
U+1F9D2	🧒	儿童 孩子 小孩 小孩儿 小孩子 小朋友 小盆友 年轻人
U+1F466	👦	男孩 儿童 儿子 哥哥 小男孩 男生
U+1F467	👧	女孩 儿童 女儿 女生 小女孩
U+1F9D1	🧑	成人 大人
U+1F471	👱	金色头发的人 大人 金发 金发女 金发女人 金发女子 金色头发
U+1F468	👨	男人 成年男人 成年男性 父亲 爸爸 男 秃子 老爹
U+1F9D4	🧔	有胡子的人 男人 大叔 有胡须的人 络腮胡 胡子 胡须
U+1F9D4-200D-2642-FE0F	🧔‍♂️	有络腮胡子的男人 男人
U+1F9D4-200D-2640-FE0F	🧔‍♀️	有络腮胡子的女人 女人 胡子女 长胡子的女人
U+1F468-200D-1F9B0	👨‍🦰	男人 红发男 红发男人 红发男子
U+1F468-200D-1F9B1	👨‍🦱	男人 红发男 红发男人 红发男子
U+1F468-200D-1F9B3	👨‍🦳	男人 白发男 白发男人 白发男子 白色头发
U+1F468-200D-1F9B2	👨‍🦲	男人 光头男 光头男人 光头男子 和尚
U+1F469	👩	女人 女 妈妈 成年女人 成年女性 母亲 老妈
U+1F469-200D-1F9B0	👩‍🦰	女人 红发女 红发女人 红发女子 红头发
U+1F9D1-200D-1F9B0	🧑‍🦰	成人
U+1F469-200D-1F9B1	👩‍🦱	女人 卷发女 卷发女人 卷发女子
U+1F9D1-200D-1F9B1	🧑‍🦱	成人
U+1F469-200D-1F9B3	👩‍🦳	女人 白发女 白发女人 白发女子 白色头发
U+1F9D1-200D-1F9B3	🧑‍🦳	成人
U+1F469-200D-1F9B2	👩‍🦲	女人 光头女 光头女人 光头女子 尼姑
U+1F9D1-200D-1F9B2	🧑‍🦲	成人
U+1F471-200D-2640-FE0F	👱‍♀️	金发女 女人 金发女人 金发女子
