U+1F4BD	💽	电脑光盘 光盘 光驱 光碟 硬盘 迷你光盘 迷你光碟
U+1F4BE	💾	软盘 磁盘 存储
U+1F4BF	💿	光盘 专辑 存储
U+1F4C0	📀	dvd 光盘 光碟
U+1F9EE	🧮	算盘 打算盘 计算
U+1F3A5	🎥	电影摄影机 摄影机 摄像机 摄录机 电影
U+1F39E	🎞	影片帧 影片 帧 电影 电影胶片 胶卷 菲林
U+1F4FD	📽	电影放映机 放映机 上映 影片 投影仪 放映 视频
U+1F3AC	🎬	场记板 剪辑 场记 打板 拍电影
U+1F4FA	📺	电视机 电视
U+1F4F7	📷	相机 卡片相机 照相机
U+1F4F8	📸	开闪光灯的相机 相机 拍照 闪光灯 闪光灯打开
U+1F4F9	📹	摄像机 录像 录像机 录影 拍摄 摄影机 视频
U+1F4FC	📼	录像带 录影带 磁带
U+1F50D	🔍	左斜的放大镜 放大镜 搜索 放大 查找
U+1F50E	🔎	右斜的放大镜 放大镜 搜索 查找
U+1F56F	🕯	蜡烛 烛光 烛火 照明 燃烧
U+1F4A1	💡	灯泡 主意 亮 想法 灯 电灯 电灯泡 白炽灯
U+1F526	🔦	手电筒 电筒 手电 照明
U+1F3EE	🏮	红灯笼 灯笼 大红灯笼 大红灯笼高高挂 居酒屋 居酒屋灯笼
U+1FA94	🪔	印度油灯 油灯 迪亚
U+1F4D4	📔	精装笔记本 笔记本 封面 日记本 本子 记事本 记录
U+1F4D5	📕	合上的书本 书本 小红书 第一卷 红色书本 红色的书
U+1F4D6	📖	打开的书本 书本 书 书籍 图书 打开的书
U+1F4D7	📗	绿色书本 书本 教科书 第二卷 绿色的书
U+1F4D8	📘	蓝色书本 书本 第三卷 蓝色的书
U+1F4D9	📙	橙色书本 书本 橘色书本 橘色的书 橙色的书 第四卷
U+1F4DA	📚	书 书本 书籍 图书 学习
U+1F4D3	📓	笔记本 日记本 本子 记事本 记录
U+1F4D2	📒	账本 笔记本 日记本 记事本 记账 账簿
U+1F4C3	📃	带卷边的页面 记录 页面 笔记本 卷边的纸 带卷边的纸
U+1F4DC	📜	卷轴 画卷 羊皮纸
U+1F4C4	📄	文件 文书 文档 纸
U+1F4F0	📰	报纸 报道 新闻
U+1F5DE	🗞	报纸卷 报纸 卷起 卷起的报纸 新闻
U+1F4D1	📑	标签页 标签 书签 书签标签 页签
U+1F516	🔖	书签
U+1F3F7	🏷	标签 吊牌 标记 行李牌
U+1F4B0	💰	钱袋 钱 奖金 工资 金钱
U+1FA99	🪙	硬币 钱 钢镚 钢镚儿 钱币
U+1F4B4	💴	日元 日元钞票
U+1F4B5	💵	美元 纸币 美元钞票
U+1F4B6	💶	欧元 欧元钞票
U+1F4B7	💷	英镑 英镑钞票
U+1F4B8	💸	长翅膀的钱 钱 mone 纸币 翅膀钱 花钱 钱飞了 长了翅膀的钱
U+1F4B3	💳	信用卡 cred 借记卡 刷卡 贷记卡 银行卡
U+1F9FE	🧾	收据 凭据 发票 记账 证明 账单
U+1F4B9	💹	趋势向上且带有日元符号的图表 图表 上涨 走势
U+2709	✉	信封 信 信件 来信 邮件 写信 信息
U+1F4E7	📧	电子邮件 邮件
U+1F4E8	📨	来信 收到来信 收到邮件 新邮件
U+1F4E9	📩	收邮件 发信 发出 发送 发邮件
U+1F4E4	📤	发件箱 发件 发信 发送 发邮件
U+1F4E5	📥	收件箱 接收 收件 收信 收到 收到邮件 收邮件
U+1F4E6	📦	包裹 包 快递 打包 盒子 箱子 纸箱 纸箱子 运送
U+1F4EB	📫	有待收信件 信箱
U+1F4EA	📪	无待收信件 信箱
U+1F4EC	📬	有新信件
U+1F4ED	📭	无新信件
U+1F4EE	📮	邮筒 邮箱
U+1F5F3	🗳	投票箱 箱子 投票 选举 选票
U+270F	✏	铅笔 橡皮 画画 画笔 绘画
U+2712	✒	钢笔尖 笔 钢笔 硬笔
U+1F58B	🖋	钢笔 笔 硬笔
U+1F58A	🖊	笔 原子笔 圆珠笔 钢笔
U+1F58C	🖌	画笔 笔 毛笔 画刷 笔刷
U+1F58D	🖍	蜡笔 笔 画棒
U+1F4DD	📝	备忘录 便条 便笺 便签 备忘 记
U+1F4BC	💼	公文包 包 上班 公事包 工作 手提包
U+1F4C1	📁	文件夹 办公
U+1F4C2	📂	打开的文件夹 文件夹 打开
U+1F5C2	🗂	索引分隔文件夹 文件夹 卡片索引分隔卡
U+1F4C5	📅	日历 日期
U+1F4C6	📆	手撕日历 日历
U+1F5D2	🗒	线圈本 笔记本 线圈笔记本
U+1F5D3	🗓	线圈日历 日历 线圈
U+1F4C7	📇	卡片索引 卡片 索引 卡牌索引 目录
U+1F4C8	📈	趋势向上的图表 图表 上升 上涨 增 增加 增大 增长 暴涨
U+1F4C9	📉	趋势向下的图表 图表 下跌 下降 减少 暴跌 降低
U+1F4CA	📊	条形图 图表 柱形图 柱状图 直方图
U+1F4CB	📋	剪贴板 写字板 夹子 纸张
U+1F4CC	📌	图钉 固定
U+1F4CD	📍	圆图钉 图钉 固定 大头针
U+1F4CE	📎	回形针 曲别针
U+1F587	🖇	连起来的两个回形针 回形针 曲别针
U+1F4CF	📏	直尺 尺子 测量 长度
U+1F4D0	📐	三角尺 三角板 测量 角度
U+2702	✂	剪刀 剪 剪子
U+1F5C3	🗃	卡片盒 卡片存档盒 存档 档案
U+1F5C4	🗄	文件柜 存档 归档 档案
U+1F5D1	🗑	垃圾桶 垃圾 垃圾篓 废纸篓
U+1F512	🔒	合上的锁 锁 锁上 上锁 锁住 锁头 门锁
U+1F513	🔓	打开的锁 锁 打开 开锁 解锁 锁头 门锁
U+1F50F	🔏	墨水笔和锁 锁 墨水笔 带墨水笔的锁 隐私 隐秘
U+1F510	🔐	钥匙和锁 锁 钥匙 安全 密钥 已锁上但挂着钥匙的锁 解锁
U+1F511	🔑	钥匙 密码 密钥 开锁
U+1F5DD	🗝	老式钥匙 钥匙 古老的钥匙 复古钥匙 旧钥匙 老钥匙
U+1F528	🔨	锤子 榔头 铁锤
U+1FA93	🪓	斧头 斧 斧子 木头
U+26CF	⛏	铁镐 挖掘 采矿 锄头 鹤嘴锄
U+2692	⚒	锤子与镐 锤子 锤子和镐
U+1F6E0	🛠	锤子与扳手 锤子 扳手 工具 锤子和扳手 锤子扳手
U+1F5E1	🗡	匕首 短刀 短剑
U+2694	⚔	交叉放置的剑 剑 宝剑 双剑 双剑交叉 开始战斗 开战
U+1F4A3	💣	炸弹
U+1FA83	🪃	回旋镖 回力棒 回力镖 回飞棒 飞去来器 飞旋镖
U+1F3F9	🏹	弓和箭 弓箭 射手 射箭
U+1F6E1	🛡	盾牌 盾 防御
U+1FA9A	🪚	木工锯 锯子 手锯
U+1F527	🔧	扳手 修 修理 工具 螺丝扳手
U+1FA9B	🪛	螺丝刀
U+1F529	🔩	螺母与螺栓 螺母 螺栓 螺丝 螺帽 螺母及螺栓 螺母和螺栓 螺母螺栓
U+2699	⚙	齿轮 机械 零件
U+1F5DC	🗜	夹钳 钳子 夹具 机械
U+2696	⚖	天平 秤 公平 公正 正义 法律
U+1F9AF	🦯	盲杖 手杖 拐杖 白手杖
U+1F517	🔗	链接 铁链 连接 链条 网址 锁链
U+26D3-FE0F-200D-1F4A5	⛓️‍💥	断链 铁链 链接 连接 链条
U+26D3	⛓	链条 链接 铁链 连接 铁链子 锁链
U+1FA9D	🪝	挂钩 钩子 弯钩 铁钩
U+1F9F0	🧰	工具箱 箱子
U+1F9F2	🧲	磁铁 吸引力 吸铁石 磁 磁力 磁性 磁石
U+1FA9C	🪜	梯子 搭梯子 爬梯 爬梯子 科学上网 翻墙 魔法上网
U+1FA8F	🪏	铲子
U+2697	⚗	蒸馏器 净化 蒸馏
U+1F9EA	🧪	试管 化学
U+1F9EB	🧫	培养皿 生物学 细菌
U+1F9EC	🧬	dna 基因 生命 脱氧核糖核酸 进化 遗传学
U+1F52C	🔬	显微镜 生物 细胞
U+1F52D	🔭	望远镜
U+1F4E1	📡	卫星天线 卫星 天线 接收天线 雷达
U+1F489	💉	注射器 打针 医学 治疗 针头 针筒
U+1FA78	🩸	血滴 血 医疗 滴血 献血 输血
U+1F48A	💊	药丸 吃药 胶囊 药物
U+1FA79	🩹	创可贴 伤口 创口贴 绷带 胶布
U+1FA7C	🩼	拐杖
U+1FA7A	🩺	听诊器 医疗 心脏 心跳 诊断
U+1FA7B	🩻	射线 xxxx xtmx 拍片 胸片 胸透 透视
U+1F6AA	🚪	门 出入口 大门 房门 门子
U+1F6D7	🛗	电梯 升降机
U+1FA9E	🪞	镜子 魔镜
U+1FA9F	🪟	窗户
U+1F6CF	🛏	床 宾馆 睡眠
U+1F6CB	🛋	沙发和灯 沙发
U+1FA91	🪑	椅子 凳子
U+1F6BD	🚽	马桶
U+1FAA0	🪠	活塞 吸把 搋子 水拔子 皮老虎 通通乐 马桶 马桶吸 马桶吸把 马桶吸盘 马桶塞 马桶抽子 马桶搋 马桶搋子 马桶疏通器
U+1F6BF	🚿	淋浴 喷头 喷水
U+1F6C1	🛁	浴缸 沐浴 泡澡 洗澡 澡盆
U+1FAA4	🪤	捕鼠器 捕鼠夹 陷阱
U+1FA92	🪒	剃须刀 刮胡刀 剃刀 手动刮胡刀 胡子 锋利
U+1F9F4	🧴	乳液瓶 乳液 护肤霜 沐浴露 洗发水 洗发露 洗洁精 防晒霜
U+1F9F7	🧷	安全别针 别针 扣针
U+1F9F9	🧹	扫帚 女巫 打扫 扫地 扫把 笤帚
U+1F9FA	🧺	筐 竹篮 篮子 菜篮 菜篮子
U+1F9FB	🧻	卷纸 卫生纸 纸巾
U+1FAA3	🪣	桶 圆桶 水桶
U+1F9FC	🧼	皂 杀菌 洗手 清洁 肥皂 肥皂泡 肥皂盒 香皂
U+1FAE7	🫧	气泡 泡泡
U+1FAA5	🪥	牙刷 刷牙
U+1F9FD	🧽	海绵 吸水 清洁 清洗 渗透
U+1F9EF	🧯	灭火器 灭火
U+1F6D2	🛒	购物车 手推车 采购
U+1F6AC	🚬	香烟 一支烟 卷烟 吸烟 抽烟 来一根 来一根儿 点烟 烤烟 纸烟
U+26B0	⚰	棺材 埋葬 死亡 灵柩 葬礼 陵墓
U+1FAA6	🪦	墓碑 坟墓
U+26B1	⚱	奉金瓮 瓮 葬礼 金塔 骨坛 骨灰盒 骨灰缸 骨瓮 黄金瓮 骨灰
U+1F9FF	🧿	纳扎尔护身符 护身符 恶魔之眼 恶魔的眼 恶魔眼 珠子
U+1FAAC	🪬	法蒂玛之手 法蒂玛
U+1F5FF	🗿	摩埃 复活岛 复活节岛 复活节岛石像 摩艾石像
U+1FAA7	🪧	标语牌 标语 告示牌 布告 布告牌
U+1FAAA	🪪	身份证 执照 证件 证照 驾照
U+1F3E7	🏧	取款机 提款机 柜员机 银行
U+1F6AE	🚮	倒垃圾 丢垃圾 垃圾丢弃处 垃圾入篓 垃圾入篓标志 扔垃圾
U+1F6B0	🚰	饮用水 水龙头 直饮水 饮水处
U+267F	♿	轮椅标识 轮椅 无障碍 残疾 残障 轮椅标志
U+1F6B9	🚹	男厕 卫生间 厕所 男厕所 男士 男士标志 男士符号 男洗手间
U+1F6BA	🚺	女厕 卫生间 厕所 女厕所 女士 女士标志 女士符号 女洗手间
U+1F6BB	🚻	卫生间 厕所 洗手间 盥洗室
U+1F6BC	🚼	宝宝 baby 婴儿 婴儿标志 婴儿符号 母婴室
U+1F6BE	🚾	厕所 卫生间 洗手间 盥洗室
U+1F6C2	🛂	护照检查 护照 安检 护照检查处 检查护照 通行证
U+1F6C3	🛃	海关 海关检查
U+1F6C4	🛄	提取行李 行李 提取 行李领取 行李领取处 领取行李
U+1F6C5	🛅	寄存行李 行李 寄存 行李寄存 行李寄存处
U+26A0	⚠	警告 危险 注意 预警
U+1F6B8	🚸	儿童过街 交通 学童过街 安全 当心儿童 注意儿童 行人
U+26D4	⛔	禁止通行 禁止进入 禁止驶入 请勿入内 请勿驶入
U+1F6AB	🚫	禁止 不准 不许 严禁 阻止
U+1F6B3	🚳	禁止自行车 禁止骑行 禁止骑车
U+1F6AD	🚭	禁止吸烟 抽烟 禁烟 请勿吸烟
U+1F6AF	🚯	禁止乱扔垃圾 勿丢垃圾 勿扔垃圾 禁丢垃圾 禁止丢垃圾 禁止乱丢垃圾 禁止扔垃圾 请勿乱丢垃圾 请勿乱扔垃圾
U+1F6B1	🚱	非饮用水 请勿饮用
U+1F6B7	🚷	禁止行人通行 禁止行人
U+1F4F5	📵	禁止使用手机 禁止打电话
U+1F51E	🔞	十八禁 成人 未成年 未成年不宜 色情
U+2622	☢	辐射 放射性
U+2623	☣	生物危害 动物 生化危机 瘟疫公司
U+2B06	⬆	向上箭头 向上 上 上箭头 箭头
U+2197	↗	右上箭头 右上 箭头
U+27A1	➡	向右箭头 向右 箭头 右 右箭头
U+2198	↘	右下箭头 右下 箭头
U+2B07	⬇	向下箭头 向下 箭头 下 下箭头
U+2199	↙	左下箭头 左下 西南 箭头
U+2B05	⬅	向左箭头 向左 箭头 左
U+2196	↖	左上箭头 左上 西北 箭头
U+2195	↕	上下箭头 上下 箭头
U+2194	↔	左右箭头 左右 箭头
U+21A9	↩	右转弯箭头 右转弯 箭头 回车
U+21AA	↪	左转弯箭头 左转弯 箭头
U+2934	⤴	右上弯箭头 右上弯 箭头
U+2935	⤵	右下弯箭头 右下弯 箭头
U+1F503	🔃	顺时针垂直箭头 顺时针 重新载入 顺时针方向 箭头
U+1F504	🔄	逆时针箭头按钮 逆时针 循环 绕 绕圈 逆时针垂直箭头 逆时针方向 箭头
U+1F519	🔙	返回箭头 返回 回退 退回 箭头
U+1F51A	🔚	结束箭头 结束 箭头
U+1F51B	🔛	onon 开启 开始 箭头
U+1F51C	🔜	soon 马上 箭头
U+1F51D	🔝	置顶 箭头
U+1F6D0	🛐	宗教场所 宗教 地点 礼拜 祈祷 祷告
U+269B	⚛	原子符号 原子 无神论 物质
U+1F549	🕉	奥姆 印度 奥姆符号
U+2721	✡	六芒星 犹太 大卫之星
U+2638	☸	法轮 达摩 达摩法轮
U+262F	☯	阴阳 太极 道教
U+271D	✝	十字架 天主教 基督 基督教
U+2626	☦	东正教十字架 十字架 东正教 东正教十字 十字
U+262A	☪	星月 伊斯兰 清真 穆斯林 星和新月
U+262E	☮	和平符号 和平 世界和平
U+1F54E	🕎	烛台 光明节
U+1F52F	🔯	带中间点的六芒星 六芒星 六角星 命运 魔法阵
U+1FAAF	🪯	坎达 坎达符号 锡克 锡克教
U+2648	♈	白羊座 十二星座 公羊
U+2649	♉	金牛座 十二星座 公牛
U+264A	♊	双子座 十二星座
U+264B	♋	巨蟹座 十二星座 螃蟹
U+264C	♌	狮子座 十二星座 雄狮
U+264D	♍	处女座 十二星座
U+264E	♎	天秤座 十二星座 正义
U+264F	♏	天蝎座 十二星座
U+2650	♐	射手座 十二星座 弓箭手
U+2651	♑	摩羯座 十二星座 山羊
U+2652	♒	水瓶座 十二星座
U+2653	♓	双鱼座 十二星座
U+26CE	⛎	蛇夫座 十二星座
U+1F500	🔀	随机播放音轨按钮 随机播放 交叉 交叉箭头 打乱 随机
U+1F501	🔁	重复按钮 重复 循环播放 重放 顺时针
U+1F502	🔂	重复一次按钮 重复一次 重复 单曲循环 顺时针
U+25B6	▶	播放按钮 播放 开始 开始播放 三角形 实心右指三角
U+23E9	⏩	快进按钮 快进 快进符号 快速
U+23ED	⏭	下一个音轨按钮 下一曲 往后 下一首
U+23EF	⏯	播放或暂停按钮 播放暂停
U+25C0	◀	倒退按钮 倒退 后退 返回键 三角形 实心左指三角
U+23EA	⏪	快退按钮 快退 倒回 快退符号
U+23EE	⏮	上一个音轨按钮 上一曲 上一首
U+1F53C	🔼	向上三角形按钮 向上 上三角 往上 调高
U+23EB	⏫	快速上升按钮 向上 快速上升 快上
U+1F53D	🔽	向下三角形按钮 向下 下三角 往下 调低
U+23EC	⏬	快速下降按钮 向下 快速下降 快下
U+23F8	⏸	暂停按钮 暂停 停止
U+23F9	⏹	停止按钮 停止 终止
U+23FA	⏺	录制按钮 录制 开始录像 开始录音 录像按钮 录音按钮
U+23CF	⏏	推出按钮 推出 弹出 退出 弹出按钮
U+1F3A6	🎦	电影院 影片
U+1F505	🔅	低亮度按钮 低亮度 亮度低 昏暗
U+1F506	🔆	高亮度按钮 高亮度 亮度高 明亮
U+1F4F6	📶	信号强度条 信号 信号强度 天线 手机信号
U+1F6DC	🛜	无线 信号 无线局域网 无线网 无线网络
U+1F4F3	📳	振动模式 振动 震动
U+1F4F4	📴	手机关机 关机 关闭 关闭手机
U+2640	♀	女性符号 女性 女 雌性
U+2642	♂	男性符号 男性 男 雄性
U+26A7	⚧	跨性别符号 跨性别 变性 带粗线的雄性与雌雄 雌雄
U+2716	✖	乘 乘号 相乘 乘以 叉 错
U+2795	➕	加 加号 十字 相加
U+2796	➖	减 减号 横线
U+2797	➗	除 除号 相除 除以
U+1F7F0	🟰	粗等号 等于 等于号
U+267E	♾	无穷大 无穷 宇宙 无限 永恒 永久性纸
U+203C	‼	双感叹号 感叹号 俩叹号 双叹号 双惊叹号
U+2049	⁉	叹号问号 叹问号 惊问 感叹号 感叹号问号 感叹疑问号 疑问惊叹 疑问惊叹号
U+2753	❓	红色问号 问号 为什么
U+2754	❔	白色问号 问号 为什么 白问号 空心
U+2755	❕	白色感叹号 感叹号 惊叹号 白叹号 白惊叹号 白感叹号 白色叹号 白色惊叹号 空心
U+2757	❗	红色感叹号 感叹号 惊叹号
U+3030	〰	波浪型破折号 破折号 浪花 波浪线
U+1F4B1	💱	货币兑换 货币 出国 外汇 换汇 汇率 流通
U+1F4B2	💲	粗美元符号 美元 价钱 货币 金钱
U+2695	⚕	医疗标志 医疗 医疗符号 单蛇之杖 蛇杖 阿斯克勒庇俄斯
U+267B	♻	回收标志 回收 再利用 循环 循环再生 循环利用 环保 再循环
U+269C	⚜	百合花饰 百合 鸢尾花 百合花
U+1F531	🔱	三叉戟徽章 三叉戟 三叉戟标志
U+1F4DB	📛	姓名牌 姓名 胸牌
U+1F530	🔰	日本新手驾驶标志 新手驾驶 日本初学者标志
U+2B55	⭕	红色空心圆圈 圆圈 圆 对 正确 环 答对 答对了
U+2705	✅	勾号按钮 对 勾 对号 对钩 正确 答对 答对了
U+2611	☑	勾选 勾选框 复选 复选按钮 复选框 打对钩 打钩 投票箱 带对钩的投票箱 对 勾
U+2714	✔	勾号 勾 对 勾选 对号 对钩 打勾 正确
U+274C	❌	叉号 错 错误 叉 叉叉 画叉 答错 答错了 错号
U+274E	❎	叉号按钮 叉 叉叉 取消 画叉 答错 答错了 错号 错误
U+27B0	➰	卷曲环
U+27BF	➿	双卷曲环 卷曲环
U+303D	〽	庵点 歌记号
U+2733	✳	八轮辐星号 星星
U+2734	✴	八角星 星星
U+2747	❇	火花 星星 闪耀
U+00A9	©	版权 版权符号
U+00AE	®	注册 注册商标 注册商标符号 注册标记
U+2122	™	商标 产品 商标符号
U+1FADF	🫟	溅洒
U+0023-FE0F-20E3	#️⃣	按键 井 井号键 井号 星号
U+002A-FE0F-20E3	*️⃣	按键 星 星号键 星号
U+0030-FE0F-20E3	0️⃣	按键 零 星号
U+0031-FE0F-20E3	1️⃣	按键 一 星号
U+0032-FE0F-20E3	2️⃣	按键 二 星号
U+0033-FE0F-20E3	3️⃣	按键 三 星号
U+0034-FE0F-20E3	4️⃣	按键 四 星号
U+0035-FE0F-20E3	5️⃣	按键 五 星号
U+0036-FE0F-20E3	6️⃣	按键 六 星号
U+0037-FE0F-20E3	7️⃣	按键 七 星号
U+0038-FE0F-20E3	8️⃣	按键 八 星号
U+0039-FE0F-20E3	9️⃣	按键 九 星号
U+1F51F	🔟	按键 十
U+1F520	🔠	输入大写拉丁字母 大写 大写字母 拉丁文 英文 英文大写 英语 输入法
U+1F521	🔡	输入小写拉丁字母 小写 小写字母 拉丁文 英文 英文小写 英语 输入法
U+1F522	🔢	输入数字 数字 一二三四
U+1F523	🔣	输入符号 符号 字符
U+1F524	🔤	输入拉丁字母 拉丁字母 拉丁文
U+1F170	🅰	血型 agtl
U+1F18E	🆎	血型 abgt
U+1F171	🅱	血型 bgtl
U+1F191	🆑	clcl 清理 清除
U+1F192	🆒	cool 很酷 特别酷 超酷
U+1F193	🆓	免费按钮 免费 free 不收费 自由
U+2139	ℹ	信息 查询 资料 资讯
U+1F194	🆔	idid 身份 身份证
U+24C2	Ⓜ	圆圈 mmmm 字母 地铁 圆圈同
U+1F195	🆕	new 全新 新建 新的
U+1F196	🆖	ngng 花絮 重拍
U+1F17E	🅾	血型 ogtl
U+1F197	🆗	okok 同意
U+1F17F	🅿	停车按钮 停车 停车场 泊车
U+1F198	🆘	sos 救命 救我 救救我 求救 求救信号 求救讯号
U+1F199	🆙	upup 升级 顶
U+1F19A	🆚	vsvs 对决 对战 对抗 比 比赛
U+1F201	🈁	这里 此处
U+1F202	🈂	服务费 小费
U+1F237	🈷	月总量 月 统计
U+1F236	🈶	收费 有 有料 费用
U+1F22F	🈯	预留 指 预订
U+1F250	🉐	议价 得 讨价还价
U+1F239	🈹	打折 割 折扣
U+1F21A	🈚	免费 无 没有
U+1F232	🈲	禁止 禁 严禁
U+1F251	🉑	可接受 可 可以 许可
U+1F238	🈸	申请 申
U+1F234	🈴	合格 合 通过
U+1F233	🈳	有空位 空
U+3297	㊗	祝贺 祝 祝福
U+3299	㊙	秘密 秘 保密
U+1F23A	🈺	开始营业 营 开门 开门营业
U+1F235	🈵	没有空位 满 满了 满座
U+1F534	🔴	红色圆 圆 圆圈 红色
U+1F7E0	🟠	橙色圆 圆 圆圈 橘色 橘黄色 橙色
U+1F7E1	🟡	黄色圆 圆 圆圈 黄色
U+1F7E2	🟢	绿色圆 圆 圆圈 绿色
U+1F535	🔵	蓝色圆 圆 圆圈 蓝色
U+1F7E3	🟣	紫色圆 圆 圆圈 紫色
U+1F7E4	🟤	棕色圆 圆 圆圈 棕色
U+26AB	⚫	黑色圆 圆 圆圈 围棋 圆形 小黑点 小黑点儿 黑子 黑棋 黑白棋 黑色 中等实心圆圈
U+26AA	⚪	白色圆 圆 圆圈 元宵 围棋 圆形 小圆点 小圆点儿 小白点 小白点儿 汤圆 白子 白棋 白色 雪球 黑白棋 中等空心圆圈
U+1F7E5	🟥	红色方块 方块 方框 红色
U+1F7E7	🟧	橙色方块 方块 方框 橘色 橘黄色 橙色
U+1F7E8	🟨	黄色方块 方块 方框 黄色
U+1F7E9	🟩	绿色方块 方块 方框 绿色
U+1F7E6	🟦	蓝色方块 方块 方框 蓝色
U+1F7EA	🟪	紫色方块 方块 方框 紫色
U+1F7EB	🟫	棕色方块 方块 方框 棕色
U+2B1B	⬛	黑线大方框 方块 方框 小黑框 方形 正方形 矩形 黑色
U+2B1C	⬜	白线大方框 方块 方框 小白框 方形 正方形 白色 矩形
U+25FC	◼	黑色中方块 方块 方框 中正方形 中等方块 中等正方形 白色中方块 白色中等方块 实心中等方形
U+25FB	◻	白色中方块 方块 方框 中正方形 中等方块 中等正方形 黑色中方块 黑色中等方块 空心中等方形
U+25FE	◾	黑色中小方块 方块 方框 大方块 大正方形 白色大方块 实心中小方形
U+25FD	◽	白色中小方块 方块 方框 大方块 大正方形 黑色大方块 空心中小方形
U+25AA	▪	黑色小方块 方块 方框 小正方形 白色小方块 实心小型方形
U+25AB	▫	白色小方块 方块 方框 小正方形 黑色小方块 空心小型方形
U+1F536	🔶	橙色大菱形 菱形 方片 橘色大菱形 橘色菱形 橘黄色大菱形 橘黄色菱形 橙色菱形
U+1F537	🔷	蓝色大菱形 菱形 蓝色菱形
U+1F538	🔸	橙色小菱形 菱形 小方片 橘色小菱形 橘黄色小菱形
U+1F539	🔹	蓝色小菱形 菱形 小方片
U+1F53A	🔺	红色正三角 三角形
U+1F53B	🔻	红色倒三角 三角形
U+1F4A0	💠	带圆点的菱形 菱形 中心 内部
U+1F518	🔘	单选按钮 单选 按钮 单独 单选框 圆心 选中
U+1F533	🔳	白色方形按钮 按钮 白线方形按钮 白线正方形按钮 白色正方形按钮 白边线方形按钮 白边线正方形按钮
U+1F532	🔲	黑色方形按钮 按钮 黑线方形按钮 黑线正方形按钮 黑色正方形按钮 黑边线方形按钮 黑边线正方形按钮
U+1F3C1	🏁	终点旗 终点 格子旗
U+1F6A9	🚩	三角旗 旗子 旗帜 旗杆上的三角旗 旗杆上的旗帜 红色旗帜
U+1F38C	🎌	交叉旗 旗帜
U+1F3F4	🏴	举黑旗 黑旗 黑色旗 黑色旗子 黑色旗帜
U+1F3F3	🏳	白旗 举白旗 投降 白色旗子 白色旗帜 认输 认输了
U+1F3F3-FE0F-200D-1F308	🏳️‍🌈	彩虹旗 同性旗
U+1F3F3-FE0F-200D-26A7-FE0F	🏳️‍⚧️	跨性别旗 跨性别
U+1F3F4-200D-2620-FE0F	🏴‍☠️	海盗旗 海盗 海贼 海贼旗
U+1F1E6-1F1E8	🇦🇨	阿森松岛 阿森松
U+1F1E6-1F1E9	🇦🇩	安道尔 安道尔公国
U+1F1E6-1F1EA	🇦🇪	阿拉伯联合酋长国 阿拉伯 阿联酋
U+1F1E6-1F1EB	🇦🇫	阿富汗
U+1F1E6-1F1EC	🇦🇬	安提瓜和巴布达 安巴
U+1F1E6-1F1EE	🇦🇮	安圭拉
U+1F1E6-1F1F1	🇦🇱	阿尔巴尼亚 阿尔巴尼亚共和国
U+1F1E6-1F1F2	🇦🇲	亚美尼亚 亚美尼亚共和国
U+1F1E6-1F1F4	🇦🇴	安哥拉 安哥拉共和国
U+1F1E6-1F1F6	🇦🇶	南极洲
U+1F1E6-1F1F7	🇦🇷	阿根廷 阿根廷共和国
U+1F1E6-1F1F8	🇦🇸	美属萨摩亚 东萨摩亚 美属萨摩亚群岛
U+1F1E6-1F1F9	🇦🇹	奥地利 奥地利共和国
U+1F1E6-1F1FA	🇦🇺	澳大利亚 澳大利亚联邦 澳洲
U+1F1E6-1F1FC	🇦🇼	阿鲁巴
U+1F1E6-1F1FD	🇦🇽	奥兰群岛 奥兰 阿赫韦南马
U+1F1E6-1F1FF	🇦🇿	阿塞拜疆 阿塞拜疆共和国
U+1F1E7-1F1E6	🇧🇦	波斯尼亚和黑塞哥维那 波黑
U+1F1E7-1F1E7	🇧🇧	巴巴多斯
U+1F1E7-1F1E9	🇧🇩	孟加拉国 孟加拉
U+1F1E7-1F1EA	🇧🇪	比利时 比利时王国
U+1F1E7-1F1EB	🇧🇫	布基纳法索
U+1F1E7-1F1EC	🇧🇬	保加利亚 保加利亚共和国
U+1F1E7-1F1ED	🇧🇭	巴林 巴林王国
U+1F1E7-1F1EE	🇧🇮	布隆迪 布隆迪共和国
U+1F1E7-1F1EF	🇧🇯	贝宁 贝宁共和国
U+1F1E7-1F1F1	🇧🇱	圣巴泰勒米
U+1F1E7-1F1F2	🇧🇲	百慕大
U+1F1E7-1F1F3	🇧🇳	文莱 文莱达鲁萨兰国
U+1F1E7-1F1F4	🇧🇴	玻利维亚 多民族玻利维亚国
U+1F1E7-1F1F6	🇧🇶	荷属加勒比区 荷兰加勒比
U+1F1E7-1F1F7	🇧🇷	巴西 巴西联邦 巴西联邦共和国
U+1F1E7-1F1F8	🇧🇸	巴哈马 巴哈马国
U+1F1E7-1F1F9	🇧🇹	不丹 不丹王国
U+1F1E7-1F1FB	🇧🇻	布韦岛 布维岛
U+1F1E7-1F1FC	🇧🇼	博茨瓦纳 博茨瓦纳共和国
U+1F1E7-1F1FE	🇧🇾	白俄罗斯 白俄
U+1F1E7-1F1FF	🇧🇿	伯利兹
U+1F1E8-1F1E6	🇨🇦	加拿大
U+1F1E8-1F1E8	🇨🇨	科科斯（基林）群岛 科科斯 科科斯群岛
U+1F1E8-1F1E9	🇨🇩	刚果（金） 刚果 刚果金
